TrainID,TrainNumber,Depot,BayPositionID,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,JobCardStatus,OpenJobCards,BrandingActive,ExposureHoursTarget,ExposureHoursAccrued,TotalMileageKM,MileageSinceLastServiceKM,BrakepadWear%,HVACWear%,BatteryHealth%,CompressorEfficiency%,OperationalStatus,CleaningRequired,predicted_delay_minutes,scheduled_load_factor,dwell_time_seconds,distance_km,passenger_density,delay_category,OnTimePerformance%,ReliabilityScore,Score
MANDAKINI,T011,Muttom,19,False,True,True,open,1,True,340,128,49807,3079,73.85897430312347,14.876605718121265,62.275183189147384,84.21919791581571,under_maintenance,True,2.508838478157834,0.3479649328926546,38,17.529888732894072,0.388163116000745,Low,86.67841259525974,0.9602517165432988,68.13
YAMUNA,T012,Kalamassery,5,True,True,True,open,4,False,0,0,34660,7991,31.340735953882913,67.29534406315318,72.64708785087416,91.05220578760326,standby,True,1.9094876209267682,0.30652081981897245,109,24.964452139652174,0.9968771582840756,Low,86.02565009539487,0.8383677762080674,73.14
PERIYAR,T013,Muttom,18,False,True,False,close,1,False,0,0,34620,2197,27.619746588578558,76.69959637118455,97.55720015708415,73.7601512030143,standby,True,5.628319400698968,0.9227988949039962,100,5.57530192482478,0.42540501716631546,Medium,87.9488151672972,0.8617184518027866,66.57
KABANI,T014,Kalamassery,6,False,False,False,close,0,False,0,0,43956,7507,18.526940943924004,36.684523088407055,82.43627459098985,73.13246865650137,standby,True,1.046557285613618,0.6819132024438657,77,15.397720029265262,0.3184750284539861,Low,86.78423726994994,0.8554865029874241,64.48
VAAYU,T015,Muttom,8,True,False,True,close,0,False,0,0,25649,3400,85.73077611608072,42.510191186569344,95.25664818653297,70.69401813314929,under_maintenance,False,4.965292081205702,0.8476705473033421,82,20.451408195554194,0.8912512227002236,Low,96.35049043204144,0.8480250277270049,82.18
KAVERI,T016,Muttom,1,True,False,True,open,1,True,300,102,36512,5064,42.97267395567349,75.64291047772497,94.57411768121145,97.0728949133541,standby,False,6.9705842869040655,0.5458022903579265,95,11.192602840281399,0.9849197497586082,Medium,92.50702025470211,0.9690626852584489,70.14
SHIRIYA,T017,Muttom,13,True,False,True,open,0,True,300,65,17908,7644,49.76510068517155,68.28360485221634,60.067651128745176,95.91610463397431,under_maintenance,True,2.50941851355993,0.5549550302468849,38,23.82411317734023,0.9366166849744322,Low,93.72417573924973,0.919409745727798,73.2
PAMPA,T018,Kalamassery,6,True,False,False,open,2,False,0,0,34723,7153,38.65241620207576,20.183023924732257,81.91748852542793,70.01136631152406,under_maintenance,False,3.3635706701832664,0.4471278794178493,104,15.953216121034542,0.4577993837892305,Low,91.18500423573134,0.921612901974218,63.12
NARMADA,T019,Muttom,7,False,True,True,open,4,False,0,0,24656,900,80.47387716293314,70.09105100325857,61.84854872371034,97.55020863789184,service,True,5.382365364457336,0.6187913178660623,110,15.240430686414317,0.774676732399191,Medium,90.37569854349852,0.8719375153177769,57.94
MAHE,T020,Muttom,15,True,True,True,open,1,True,300,205,45450,5698,56.43662003549927,14.017470811251274,98.00158433772623,94.95992592269224,under_maintenance,False,1.9935862372797732,0.8813984188049904,100,12.25601307776411,0.3273263260343995,Low,97.06092873696568,0.8810125563044435,84.95
MAARUT,T021,Muttom,5,True,False,False,close,2,False,0,0,24884,4288,72.08358900888452,28.759486241170826,75.32141169725352,74.27854746416014,service,True,2.6867802929705116,0.34496019549971463,82,9.610271993875923,0.5727394426809205,Low,85.8717199481702,0.9499204104812877,73.92
SABARMATHI,T022,Kalamassery,18,False,True,False,open,0,False,0,0,29453,8499,75.27801000475087,78.27583604552837,68.77686538485744,82.20340732930583,standby,True,7.62744270776085,0.5722000422722896,115,17.620263355652042,0.5234533353101096,Medium,87.31062623684912,0.8841302268618159,54.64
GODHAVARI,T023,Kalamassery,7,True,True,False,close,0,False,0,0,44799,5855,84.3481084476104,24.53832212107457,73.50002192295483,94.62991960805307,service,False,2.0812505113544377,0.8264068764883494,83,7.802245230994754,0.2655249862093141,Low,85.27136601870015,0.8970954286260561,89.11
GANGA,T024,Kalamassery,4,False,True,True,close,0,True,300,119,31793,6543,82.13830770276785,59.70685252689263,66.7115657347121,87.0029298289461,service,True,1.9083595351112468,0.8444543203228028,50,24.188577779784016,0.28647899972608526,Low,85.35949795696452,0.8561523039910451,80.82
PAVAN,T025,Muttom,19,False,False,True,close,4,True,280,88,49913,7518,70.77544019966177,34.12661483901336,86.46085362749423,71.93078862254994,service,False,5.47407231333325,0.30885650511609714,83,20.913611116071337,0.2844310965151989,Medium,98.4510259410041,0.9144053190982603,62.51
